epoch,meta_learning_rate,standalone_learning_rate,meta_train_bce,meta_val_bce,meta_train_accuracy,meta_val_accuracy,standalone_train_active_bin_ce,standalone_val_active_bin_ce,standalone_train_accuracy,standalone_val_accuracy
41,0.005,0.005,0.4032962918281555,0.39111053943634033,0.575,0.6,0.8152877569198609,0.803442120552063,0.7,0.7
42,0.005,0.005,0.3937946856021881,0.3804005980491638,0.5625,0.6,0.7439376950263977,0.7545201778411865,0.7375,0.8
43,0.005,0.005,0.38666718602180483,0.3822004795074463,0.5625,0.6,0.6750513076782226,0.8030730485916138,0.7875,0.6
44,0.005,0.005,0.3931491732597351,0.3916381597518921,0.5625,0.6,0.8018925666809082,0.8980072736740112,0.6875,0.6
45,0.005,0.005,0.3901917040348053,0.3801071345806122,0.575,0.6,0.8521053433418274,0.9808491468429565,0.6625,0.5
46,0.005,0.005,0.384622323513031,0.37244755029678345,0.55,0.6,0.761132276058197,0.69246906042099,0.7,0.7
47,0.005,0.005,0.37484241724014283,0.36921176314353943,0.5875,0.6,0.6668848991394043,0.9272036552429199,0.7,0.6
48,0.005,0.005,0.3710839867591858,0.3570764660835266,0.7125,0.6,0.6414543569087983,0.7080268859863281,0.7375,0.8
49,0.005,0.005,0.3689646780490875,0.34952184557914734,0.7125,0.8,0.5726966559886932,0.6755650639533997,0.775,0.9
50,0.005,0.005,0.36020821928977964,0.3493362069129944,0.7875,0.8,0.7471092700958252,0.8841202855110168,0.7,0.8
51,0.005,0.005,0.35355883836746216,0.34438174962997437,0.8625,1.0,0.6915864527225495,0.6901577115058899,0.7,0.9
52,0.005,0.005,0.34790646433830263,0.344832181930542,0.8375,0.8,0.7932119965553284,1.1692614555358887,0.75,0.6
53,0.005,0.005,0.3545706570148468,0.3652506172657013,0.7875,0.8,0.6939128816127778,0.978108286857605,0.7125,0.6
54,0.005,0.005,0.36885119080543516,0.3651929199695587,0.7625,0.8,0.6353378415107727,0.49659794569015503,0.7625,1.0
55,0.005,0.005,0.3709471940994263,0.366128534078598,0.8,1.0,0.6562465965747833,0.49629589915275574,0.7125,1.0
56,0.005,0.005,0.35718401074409484,0.3452351987361908,0.9,0.9,0.5433673143386841,0.5410593152046204,0.825,0.8
57,0.005,0.005,0.3613804042339325,0.39499667286872864,0.8,0.8,0.46295987963676455,0.6887304186820984,0.85,0.6
58,0.005,0.005,0.3994281947612762,0.4178810119628906,0.8125,0.8,0.36043101251125337,0.6559844017028809,0.9125,0.7
59,0.005,0.005,0.3745063066482544,0.35382941365242004,0.7625,0.9,0.4044376462697983,1.62709641456604,0.9,0.5
60,0.005,0.005,0.346105569601059,0.32757437229156494,0.8625,0.9,0.4762995421886444,0.7374656796455383,0.9125,0.8
61,0.005,0.005,0.3352185845375061,0.32089924812316895,0.9,1.0,0.4534772515296936,1.0621898174285889,0.9125,0.7
62,0.005,0.005,0.3270167112350464,0.31116825342178345,0.9375,1.0,0.5816181510686874,0.9569313526153564,0.85,0.7
63,0.005,0.005,0.32723042368888855,0.31913337111473083,0.9125,1.0,0.42813425064086913,0.5534932613372803,0.9125,0.7
64,0.005,0.005,0.32682982087135315,0.3064476251602173,0.9375,1.0,0.4014368951320648,0.5669476389884949,0.925,0.8
65,0.005,0.005,0.3238939642906189,0.36126551032066345,0.95,1.0,0.4123328387737274,0.9324043393135071,0.925,0.6
66,0.005,0.005,0.35605928897857664,0.35266637802124023,0.875,1.0,0.4967626094818115,0.6535307765007019,0.85,0.6
67,0.005,0.005,0.3451020896434784,0.32899847626686096,0.95,1.0,0.32240332663059235,0.39099276065826416,0.9375,0.9
68,0.005,0.005,0.3315609276294708,0.3273915648460388,0.9125,1.0,0.3077592343091965,0.8578283190727234,0.975,0.7
69,0.005,0.005,0.33115431666374207,0.3282092809677124,0.9125,1.0,0.4564671993255615,0.624259352684021,0.875,0.7
70,0.005,0.005,0.32866187691688536,0.3007858097553253,0.9375,1.0,0.26694991886615754,1.066610336303711,0.95,0.7
71,0.005,0.005,0.31876018047332766,0.3156670331954956,0.95,1.0,0.3986814975738525,0.7447093725204468,0.9,0.7
72,0.005,0.005,0.3178330659866333,0.28914910554885864,0.9625,1.0,0.33167808353900907,0.7483236789703369,0.9,0.8
73,0.005,0.005,0.30978353023529054,0.3003544509410858,0.9375,1.0,0.606119903922081,1.4334602355957031,0.8625,0.6
74,0.005,0.005,0.3232407569885254,0.29282882809638977,0.9625,1.0,0.4473392441868782,0.4424797594547272,0.9,0.8
75,0.005,0.005,0.31430835127830503,0.29879817366600037,0.9125,1.0,0.3358726382255554,0.9111210703849792,0.9375,0.7
76,0.005,0.005,0.3170212090015411,0.29679927229881287,0.9,1.0,0.46136969327926636,1.3620296716690063,0.8875,0.5
77,0.005,0.005,0.30443553924560546,0.29521074891090393,0.95,1.0,0.5198214113712311,1.1533066034317017,0.85,0.7
78,0.005,0.005,0.2986933827400208,0.278558611869812,0.95,1.0,0.8666979134082794,0.4306141436100006,0.775,0.9
79,0.005,0.005,0.2926577478647232,0.28626537322998047,0.95,1.0,0.5424813747406005,0.8140237927436829,0.875,0.7
80,0.005,0.005,0.31129674315452577,0.28036925196647644,0.9625,1.0,0.5325446248054504,0.4521602988243103,0.875,0.9
81,0.005,0.005,0.29396244287490847,0.2893858551979065,0.9625,1.0,0.39594160914421084,0.6617660522460938,0.9,0.6
82,0.005,0.005,0.2870833396911621,0.2769991159439087,0.975,1.0,0.4418367177248001,0.6547059416770935,0.9125,0.8
83,0.005,0.005,0.2786836624145508,0.266865611076355,0.975,1.0,0.2665339380502701,0.45743635296821594,0.9625,0.9
84,0.005,0.005,0.27418757081031797,0.26386040449142456,0.975,1.0,0.22426990270614625,0.7667775750160217,0.95,0.8
85,0.005,0.005,0.27372519969940184,0.26357027888298035,0.975,1.0,0.20701913982629777,0.6187211871147156,0.9625,0.8
86,0.005,0.005,0.27461494207382203,0.2636048197746277,0.975,1.0,0.17201880514621734,0.5561792850494385,0.9875,0.8
87,0.005,0.005,0.26687746644020083,0.2993205487728119,0.9875,1.0,0.18413893282413482,0.8915563225746155,0.9875,0.8
88,0.005,0.005,0.2793752610683441,0.25796857476234436,0.9625,1.0,0.15514103323221207,0.6781772375106812,0.9875,0.8
89,0.005,0.005,0.2635940372943878,0.25599515438079834,0.9875,1.0,0.24164865165948868,1.2233504056930542,0.95,0.7
90,0.005,0.005,0.2691908359527588,0.26183342933654785,0.9875,1.0,0.3895323857665062,1.2852363586425781,0.9,0.5
91,0.005,0.005,0.2648452967405319,0.2591067850589752,0.975,1.0,0.21495196893811225,0.6089121699333191,0.9375,0.8
92,0.005,0.005,0.2612828552722931,0.2537323236465454,0.975,1.0,0.23434704542160034,0.42111971974372864,0.9375,0.9
93,0.005,0.005,0.25766328573226926,0.2670338749885559,0.9875,1.0,0.5783062726259232,0.7170038223266602,0.8625,0.7
94,0.005,0.005,0.264694145321846,0.25448256731033325,0.9875,1.0,0.6786473423242569,1.5067085027694702,0.8375,0.5
95,0.005,0.005,0.2592551916837692,0.25348958373069763,0.9875,1.0,0.30375136286020277,0.5445411205291748,0.9125,0.9
96,0.005,0.005,0.2546334356069565,0.2503747045993805,0.9875,1.0,0.6408764272928238,1.6077046394348145,0.8125,0.6
97,0.005,0.005,0.25382609367370607,0.25306862592697144,0.9875,1.0,0.7500695317983628,1.5961616039276123,0.8125,0.6
98,0.005,0.005,0.2514969676733017,0.2505530118942261,0.9875,1.0,0.9058588445186615,1.3024063110351562,0.75,0.5
99,0.005,0.005,0.24807776510715485,0.24974091351032257,0.9875,1.0,0.3516603410243988,0.5941643714904785,0.9,0.9
100,0.005,0.005,0.24915016293525696,0.25241756439208984,0.9875,1.0,0.38179413676261903,1.1561518907546997,0.925,0.6
101,0.005,0.005,0.2509989798069,0.24884459376335144,0.9875,1.0,0.2927077680826187,0.5157264471054077,0.95,0.8
102,0.005,0.005,0.2487972140312195,0.24526624381542206,0.9875,1.0,0.2403312459588051,0.5422807335853577,0.9875,0.8
103,0.005,0.005,0.25112943947315214,0.25300344824790955,0.9875,1.0,0.14724381119012833,0.4109955132007599,0.9875,0.9
104,0.005,0.005,0.2581157088279724,0.2569648027420044,0.9875,1.0,0.14533694982528686,0.837110698223114,0.9875,0.7
105,0.005,0.005,0.2588781535625458,0.25442346930503845,0.9875,1.0,0.14689438790082932,0.36892929673194885,0.9875,0.9
106,0.005,0.005,0.2648636430501938,0.25464046001434326,0.9875,1.0,0.13829222619533538,1.0154471397399902,0.9875,0.7
107,0.005,0.005,0.2517339110374451,0.2605113387107849,0.9875,1.0,0.16964533925056458,0.6588177680969238,0.9875,0.8
108,0.005,0.005,0.2551707535982132,0.2502731382846832,0.9875,1.0,0.15709773004055022,0.3860355615615845,0.975,0.9
109,0.005,0.005,0.2511020302772522,0.26328542828559875,0.9875,1.0,0.14346934407949447,0.48123446106910706,0.975,0.9
110,0.005,0.005,0.25274051129817965,0.25084027647972107,0.9875,1.0,0.14419062845408917,0.9694709777832031,0.975,0.7
111,0.005,0.005,0.2490376651287079,0.2612362802028656,0.9875,1.0,0.10891503542661667,1.1998329162597656,1.0,0.7
112,0.005,0.005,0.25043964982032774,0.24728840589523315,0.9875,1.0,0.10422555208206177,0.9609932899475098,1.0,0.6
113,0.005,0.005,0.2445825845003128,0.23923301696777344,0.9875,1.0,0.14479182735085488,0.5699347257614136,0.975,0.9
114,0.005,0.005,0.24576197266578675,0.24334095418453217,0.9875,1.0,0.13207492008805274,0.4606315493583679,0.9875,0.8
115,0.005,0.005,0.24199579656124115,0.24722091853618622,0.9875,1.0,0.12218007296323777,0.5894540548324585,0.975,0.8
116,0.005,0.005,0.2420344293117523,0.2410944551229477,0.9875,1.0,0.08194622620940209,0.8965669274330139,1.0,0.8
117,0.005,0.005,0.2431706130504608,0.24317826330661774,0.9875,1.0,0.07075001150369645,0.9311699867248535,0.9875,0.8
118,0.005,0.005,0.24837718307971954,0.24578039348125458,0.9875,1.0,0.3845070391893387,0.5520278215408325,0.9,0.7
119,0.005,0.005,0.24428600072860718,0.24421906471252441,0.9875,1.0,0.10896568223834038,0.9186832308769226,0.9875,0.7
120,0.005,0.005,0.24587766230106353,0.26109907031059265,0.9875,1.0,0.0630087736994028,0.8816246390342712,1.0,0.8
121,0.005,0.005,0.2494558185338974,0.24232368171215057,0.9875,1.0,0.06169147714972496,0.5985104441642761,0.9875,0.9
122,0.005,0.005,0.24388439059257508,0.23864223062992096,0.9875,1.0,0.05074511654675007,0.8135254979133606,1.0,0.8
123,0.005,0.005,0.23907308280467987,0.24132800102233887,0.9875,1.0,0.07452030032873154,0.4713733494281769,1.0,0.9
124,0.005,0.005,0.23838763535022736,0.23770484328269958,0.9875,1.0,0.060664846748113635,0.8428150415420532,1.0,0.8
125,0.005,0.005,0.2352363497018814,0.2351764738559723,0.9875,1.0,0.08494421262294054,0.514610767364502,1.0,0.9
126,0.005,0.005,0.2368040233850479,0.23773552477359772,0.9875,1.0,0.08410740457475185,0.696631669998169,1.0,0.8
127,0.005,0.005,0.23328882455825806,0.24081653356552124,0.9875,1.0,0.1618381764739752,1.4508124589920044,0.975,0.7
128,0.005,0.005,0.23587241172790527,0.234280064702034,0.9875,1.0,0.23451103270053864,0.21742834150791168,0.9625,1.0
129,0.005,0.005,0.23630288541316985,0.2391657680273056,0.9875,1.0,0.08781473711133003,0.28186872601509094,0.9875,1.0
130,0.005,0.005,0.24272875487804413,0.24382223188877106,0.9875,1.0,0.05486990883946419,0.6158809661865234,1.0,0.8
131,0.005,0.005,0.24242684841156006,0.2386229932308197,0.9875,1.0,0.0865370448678732,0.6013518571853638,1.0,0.8
132,0.005,0.005,0.23732770681381227,0.2389400452375412,0.9875,1.0,0.06376400440931321,0.6234480142593384,1.0,0.8
133,0.005,0.005,0.2390612006187439,0.23902253806591034,0.9875,1.0,0.14866380766034126,0.6326349377632141,0.975,0.8
134,0.005,0.005,0.2376684308052063,0.2346673458814621,0.9875,1.0,0.2383852954953909,0.6355298161506653,0.9375,0.8
135,0.005,0.005,0.23345563411712647,0.23588700592517853,0.9875,1.0,0.0597362793982029,0.574363648891449,0.9875,0.9
136,0.005,0.005,0.23787271678447724,0.23048344254493713,0.9875,1.0,0.07090376894921065,0.23809440433979034,1.0,1.0
137,0.005,0.005,0.2332086056470871,0.2356666624546051,0.9875,1.0,0.13255864530801773,1.1650331020355225,0.975,0.7
138,0.005,0.005,0.23454728424549104,0.2312067598104477,0.9875,1.0,0.13821278363466263,0.8095558285713196,0.975,0.8
139,0.005,0.005,0.23592087924480437,0.2394261658191681,0.9875,1.0,0.22551052793860435,0.8958742618560791,0.9625,0.8
140,0.005,0.005,0.2323409914970398,0.22799955308437347,0.9875,1.0,0.20706482380628585,0.6059938073158264,0.95,0.8
141,0.005,0.005,0.22708081007003783,0.22573897242546082,0.9875,1.0,0.15916105769574643,0.7223790287971497,0.9875,0.8
142,0.005,0.005,0.225595360994339,0.2247561514377594,0.9875,1.0,0.08415009565651417,0.7335601449012756,0.9875,0.7
143,0.005,0.005,0.2244463860988617,0.22225171327590942,0.9875,1.0,0.18677098266780376,0.7231200933456421,0.975,0.8
144,0.005,0.005,0.2236977070569992,0.22299250960350037,1.0,1.0,0.11882229298353195,0.7173315286636353,0.975,0.7
145,0.005,0.005,0.22224853336811065,0.22134998440742493,0.9875,1.0,0.0938648171722889,0.6596394777297974,0.975,0.7
146,0.005,0.005,0.22067095041275026,0.2220824509859085,1.0,1.0,0.08184028416872025,1.0663255453109741,0.9875,0.7
147,0.005,0.005,0.22666026949882506,0.2212182730436325,1.0,1.0,0.0598753534257412,0.8364510536193848,0.9875,0.8
148,0.005,0.005,0.22253760397434236,0.23773053288459778,1.0,1.0,0.04592376053333282,0.6334627270698547,0.9875,0.8
149,0.005,0.005,0.2344633013010025,0.23655959963798523,1.0,1.0,0.2705026976764202,0.7937048077583313,0.9375,0.8
150,0.005,0.005,0.24768443405628204,0.23854826390743256,1.0,1.0,0.04764802549034357,0.585597574710846,0.9875,0.8
151,0.005,0.005,0.2374926209449768,0.3162488043308258,1.0,0.9,0.11510984525084496,0.8194684982299805,0.975,0.8
152,0.005,0.005,0.23987891972064973,0.23014198243618011,0.9875,1.0,0.18188756108283996,0.6705028414726257,0.9625,0.8
153,0.005,0.005,0.3308346301317215,0.4394652545452118,0.8125,0.6,0.04540141187608242,0.6011899709701538,1.0,0.8
154,0.005,0.005,0.49954724311828613,0.503381609916687,0.425,0.4,0.06333358585834503,1.9413974285125732,0.9875,0.6
155,0.005,0.005,0.48768669962882993,0.5460588932037354,0.4,0.3,0.17629427462816238,0.8399129509925842,0.9625,0.7
156,0.005,0.005,0.5344099223613739,0.4113515615463257,0.3375,0.6,0.14375474005937577,0.8318596482276917,0.975,0.7
157,0.005,0.005,0.4593205630779266,0.44657087326049805,0.4375,0.4,0.22593874037265776,0.8506357073783875,0.95,0.8
158,0.005,0.005,0.45110854506492615,0.43559592962265015,0.3875,0.6,0.06401844583451748,1.0594687461853027,1.0,0.8
159,0.005,0.005,0.4261597514152527,0.4422580897808075,0.5875,0.6,0.08753547966480255,0.8475654125213623,0.9875,0.8
160,0.005,0.005,0.41988909244537354,0.41928157210350037,0.6125,0.6,0.14619525969028474,1.274161458015442,0.9625,0.7
161,0.005,0.005,0.4115487217903137,0.40075477957725525,0.6,0.6,0.13537534475326538,0.8519383072853088,0.9625,0.8
162,0.005,0.005,0.396982479095459,0.3869973421096802,0.6,0.6,0.14130185097455977,1.0590507984161377,0.975,0.8
163,0.005,0.005,0.3870943009853363,0.3704001009464264,0.5875,0.6,0.17755129672586917,0.9265267252922058,0.9625,0.7
164,0.005,0.005,0.37352232336997987,0.3644558787345886,0.6625,0.6,0.3163389220833778,1.2410058975219727,0.95,0.7
165,0.005,0.005,0.36321377754211426,0.35577768087387085,0.6125,0.6,0.20753475427627563,1.0353120565414429,0.9625,0.8
166,0.005,0.005,0.354704487323761,0.3419162929058075,0.6625,0.8,0.09430920295417308,0.9589070677757263,0.9875,0.8
167,0.005,0.005,0.34815655946731566,0.36194199323654175,0.775,0.8,0.04666639268398285,1.0123958587646484,1.0,0.7
168,0.005,0.005,0.33850987553596495,0.313816636800766,0.8,0.8,0.042878399789333346,0.5025686025619507,1.0,0.9
169,0.005,0.005,0.3288941740989685,0.2976868152618408,0.8125,0.8,0.026872249133884907,1.0340344905853271,1.0,0.8
170,0.005,0.005,0.30776168704032897,0.29556381702423096,0.85,0.9,0.049654456041753295,1.2643585205078125,1.0,0.8
171,0.005,0.005,0.3124092221260071,0.3147469460964203,0.9,0.7,0.03966589011251927,0.8738934993743896,1.0,0.8
172,0.005,0.005,0.30882269740104673,0.28736406564712524,0.8875,1.0,0.07269625887274742,1.2415733337402344,0.9875,0.8
173,0.005,0.005,0.2877041518688202,0.2757148742675781,0.9625,1.0,0.043679768964648244,1.0150246620178223,1.0,0.8
174,0.005,0.005,0.2812115252017975,0.2737715542316437,0.9875,1.0,0.042313212901353835,1.1827117204666138,1.0,0.7
175,0.005,0.005,0.28720754384994507,0.27787232398986816,0.9625,1.0,0.07697323877364397,1.2037858963012695,0.9875,0.8
176,0.005,0.005,0.2827697336673737,0.26906445622444153,0.975,1.0,0.06982127092778682,1.3519854545593262,0.9875,0.8
177,0.005,0.005,0.2727341949939728,0.2606365978717804,0.9875,1.0,0.09154329430311918,1.0478087663650513,0.9875,0.8
178,0.005,0.005,0.27004545331001284,0.2646026313304901,0.9875,1.0,0.11006653010845184,0.6547317504882812,0.9875,0.9
179,0.005,0.005,0.27577569484710696,0.27664774656295776,0.975,1.0,0.045872175693511964,0.6322893500328064,1.0,0.9
180,0.005,0.005,0.28926007747650145,0.269806832075119,0.975,1.0,0.03288143314421177,1.1532552242279053,1.0,0.8
181,0.005,0.005,0.26950121521949766,0.2594432234764099,0.9875,1.0,0.03688605912029743,1.1164289712905884,1.0,0.8
182,0.005,0.005,0.2669375777244568,0.26159530878067017,0.975,1.0,0.028105145692825316,0.8948663473129272,1.0,0.8
183,0.005,0.005,0.35385177135467527,0.48317471146583557,0.8125,0.6,0.03831797940656543,1.3325797319412231,1.0,0.8
184,0.005,0.005,0.4088699698448181,0.3535303771495819,0.6875,0.8,0.03821684457361698,0.6494208574295044,1.0,0.9
185,0.005,0.005,0.35692221522331236,0.3616335391998291,0.7875,0.8,0.07290188549086452,0.6940295696258545,0.9875,0.9
186,0.005,0.005,0.3298192322254181,0.3200732171535492,0.8,0.9,0.061581351608037946,0.08941736817359924,1.0,1.0
187,0.005,0.005,0.3167360186576843,0.2845548391342163,0.9125,1.0,0.09131056237965822,0.5637150406837463,1.0,0.9
188,0.005,0.005,0.2900273263454437,0.2777259647846222,0.975,1.0,0.06364646870642901,1.3622560501098633,0.9875,0.7
189,0.005,0.005,0.28686235249042513,0.28914400935173035,0.975,1.0,0.1872284285724163,1.1149076223373413,0.95,0.8
190,0.005,0.005,0.299979966878891,0.2776497006416321,0.95,1.0,0.04802460866048932,0.559703528881073,1.0,0.9
191,0.005,0.005,0.304744815826416,0.2853619158267975,0.925,1.0,0.13852646369487048,0.4838801324367523,0.9875,0.9
192,0.005,0.005,0.2915077805519104,0.2679841220378876,0.9625,1.0,0.1335915669798851,1.0726144313812256,0.9875,0.9
193,0.005,0.005,0.26906644105911254,0.26576170325279236,0.9875,1.0,0.08658188730478286,0.2750784158706665,1.0,1.0
194,0.005,0.005,0.26487024426460265,0.2472912222146988,0.975,1.0,0.15822581760585308,0.7022170424461365,0.9875,0.8
195,0.005,0.005,0.2501141011714935,0.2502276301383972,0.9875,1.0,0.12586579993367195,1.0079890489578247,0.9875,0.8
196,0.005,0.005,0.25077947974205017,0.2450818419456482,0.9875,1.0,0.10627022944390774,0.8312505483627319,0.9875,0.8
197,0.005,0.005,0.24827049672603607,0.2449314147233963,0.9875,1.0,0.23153611421585082,1.2153326272964478,0.95,0.8
198,0.005,0.005,0.24743696451187133,0.2432229071855545,0.9875,1.0,0.2118695557117462,0.9097979068756104,0.9625,0.8
199,0.005,0.005,0.2448646068572998,0.23888276517391205,0.9875,1.0,0.13069232702255248,0.4731265902519226,0.975,0.8
200,0.005,0.005,0.24400322139263153,0.2397521585226059,0.9875,1.0,0.16037367284297943,0.7067420482635498,0.9625,0.8
